Name,ID,Utilization
Indian Boundary Park & Cultural Center,255,0.35
Indian Road Park,256,0.3
Jackson Park Fieldhouse,257,0.13
Mahalia Jackson Park,263,0.86
Jefferson Memorial Park,264,0.98
Jonquil Playlot Park,266,0.75
Kedvale Park,270,0.71
Kelly Park,273,0.14
Kelvyn Park,275,0.3
Kennedy Park,277,0
Kennicott Park,278,0.83
Ken-Well Park,280,0.4
Kenwood Community Park,281,0.16
Kosciuszko Park,288,0.31
La Follette Park,291,0.88
Lake Meadows Park,292,0.64
Lake Shore Park,293,0.56
Lawler Park,299,0.98
LeClaire Courts/Hearst Community,301,0.12
Lincoln Park Cultural Center,311,0.95
Lindblom Park,312,0.02
Lowe Playground Park,317,0.45
Loyola Park,318,0.89
Mandrake Park,326,0.4
Mann Park,327,0.36
Maplewood Playlot Park,329,0.67
Marquette Park,331,0.61
Matanky Playlot Park,335,0.88
Mather Park,336,0.3
McGuane Park,337,0.16
McKiernan Playground Park,340,0.05
Merrimac Park,344,0.19
Meyering Playground Park,347,0.01
Midway Plaisance Park,351,0.78
Minuteman Park,354,0.01
Moore Park,359,0.65
Moran Playground Park,360,0.2
Mt. Greenwood Park,362,0.79
Mozart Park,363,0.86
Munroe Park,366,0.3
Don Nash Community Center,368,0.8
Nichols Park,371,0.78
Normandy Playground Park,374,0.57
North Park Village Nature Center,376,0.78
Northerly Island,378,0.69
Norwood Park,380,0.09
Oakdale Park,382,0.74
Ogden Park,384,1
OHallaren Park,386,0.98
Olympia Park,389,0.3
Oriole Park,390,1
Owens Park,392,0.1
Oz Park,393,0.04
Palmer Park,395,0.15
Murray Playground Park,403,0.02
Rainbow Beach & Park,446,0.28
Rainey Park,447,0.25
Pulaski Park,452,0.34
Pottawattomie Park,458,0.72
Piotrowski Park,463,0.35
Pasteur Park,468,0.86
Paschen Park,469,0.67
Ridge Park,474,0.82
Riis Park,476,0.39
Strochacker Park,479,0.62
Taylor Park,491,0.48
Taylor-Lauridsen Playground Park,492,0.89
Tilton Park,499,0.32
Touhy Park,501,0.05
Trebes Park,503,0.8
Trumbull Park,504,0.96
Tuley Park,505,0.58
Union Park,506,0.44
Valley Forge Park,508,0.53
Veterans Memorial Park,509,0.08
Vittum Park,511,0.46
Warren Park,519,0.67
Washington Park,521,0.94
Harold Washington Playlot Park,523,0.15
Welles Park,526,0.6
Wentworth Park,528,0.98
West Chatham Park,530,0.87
West Pullman Park,531,0.94
White (Edward H.) Park,532,0.62
White (Willye B.) Park,533,0.64
Wildwood Park,535,0.04
Wilson (Frank J.) Park,536,0.31
Winnemac Park,537,0.05
Wolfe Playground Park,539,0.41
Woodhull Playground Park,541,0.57
Wrightwood Park,542,0.3
Robichaux Park,544,0.44
Rogers Park,546,0.65
Rosedale Park,549,0.31
Rosenblum Park,550,0.99
Rowan Park,551,0.64
Russell Square Park,552,0.81
Rutherford Sayre Park,553,0.14
Schreiber Playground Park,554,0.77
Scottsdale Playground Park,555,0.79
Senka Park,558,0.72
Senn Playlot Park,559,0.9
Seward Park,560,0.84
Shabbona Park,561,0.28
Shedd Park,562,0.14
Sheil Park,563,0.57
Sheridan Park,564,0.21
Sherman Park,565,0.45
Sherwood Park,566,0.23
Simons Park,567,0.69
Skinner Park,569,0.89
Smith (Joseph Higgins) Park,570,0.19
Smith (Wendell) Playlot Park,571,0.24
South Shore Cultural Center Field House,575,0.53
Stanton Park,578,0.12
Margate Park,582,0.52
Wilson (John P.) Park,583,0.83
Washtenaw Park,584,0.28
Wicker Park,585,0.55
Wilson Community Center,586,0.07
Williams Park,587,0.15
Haines School Park,588,0.46
Wentworth Gardens Park,589,0.17
The Park at NTA,590,0.1
Homan Square Park,591,0.35
Tarkington Park,595,0.31
Jackie Robinson Park,597,0.99
Sumner Park,599,0.64
Lincoln Park,608,0.13
Jackson Park,609,0.99
Lincoln Park North Avenue Beach,610,0.4
Chicago State Gymnastics Center,611,0.96
Calumet Park Gymnastics Center,612,0.33
Garfield Park Gymnastics Center,613,0.5
Harrison Park Gymnastics Center,614,0.68
Broadway Armory Park Gymnastics Center,615,0.8
Shabbona Park Gymnastics Center,616,0.21
McKinley Park Gymnastics Center,617,0.37
Judd Goldman Community Sailing Center,619,0.8
Culture Arts and Nature,623,0.02
North Region Office,626,0.16
Park No. 484,632,0.7
